iter	Passed	Remaining
590	68766	47589
591	68877	47469
592	69000	47357
593	69095	47226
594	69207	47107
595	69317	46986
596	69429	46868
597	69551	46755
598	69653	46629
599	69775	46516
600	69898	46405
601	70016	46290
602	70120	46165
603	70221	46039
604	70332	45919
605	70447	45802
606	70559	45683
607	70672	45564
608	70780	45443
609	70888	45322
610	70988	45195
611	71119	45088
612	71227	44967
613	71332	44844
614	71464	44738
615	71561	44610
616	71668	44488
617	71785	44372
618	71873	44238
619	71983	44118
620	72095	44000
621	72213	43885
622	72342	43777
623	72451	43656
624	72566	43539
625	72686	43426
626	72798	43307
627	72930	43201
628	73040	43080
629	73154	42963
630	73297	42863
631	73415	42747
632	73530	42631
633	73634	42508
634	73755	42395
635	73861	42272
636	73978	42157
637	74094	42041
638	74206	41922
639	74302	41795
640	74428	41684
641	74533	41562
642	74638	41440
643	74740	41316
644	74829	41185
645	74972	41083
646	75066	40956
647	75175	40836
648	75290	40719
649	75420	40611
650	75520	40486
651	75637	40370
652	75745	40250
653	75875	40142
654	75984	40022
655	76095	39903
656	76201	39782
657	76375	39696
658	76509	39590
659	76639	39480
660	76743	39358
661	76859	39242
662	76961	39119
663	77067	38997
664	77184	38882
665	77304	38768
666	77428	38656
667	77537	38536
668	77653	38420
669	77775	38307
670	77896	38193
671	78028	38085
672	78120	37957
673	78249	37847
674	78375	37736
675	78502	37625
676	78622	37511
677	78737	37394
678	78843	37273
679	78966	37160
680	79095	37050
681	79212	36934
682	79320	36814
683	79419	36690
684	79524	36569
685	79644	36455
686	79749	36334
687	79871	36220
688	79975	36099
689	80093	35984
690	80201	35864
691	80299	35740
692	80408	35621
693	80513	35500
694	80631	35385
695	80753	35271
696	80847	35146
697	80957	35027
698	81066	34908
699	81227	34811
700	81351	34698
701	81482	34589
702	81602	34475
703	81689	34346
704	81803	34229
705	81910	34109
706	82051	34004
707	82152	33882
708	82241	33754
709	82354	33637
710	82481	33526
711	82586	33405
712	82695	33287
713	82801	33167
714	82916	33050
715	83039	32937
716	83152	32820
717	83267	32704
718	83379	32586
719	83481	32465
720	83598	32349
721	83704	32229
722	83815	32111
723	83924	31993
724	84024	31871
725	84123	31749
726	84235	31631
727	84339	31511
728	84464	31399
729	84582	31283
730	84689	31164
731	84802	31047
732	84908	30928
733	85016	30809
734	85130	30693
735	85263	30583
736	85370	30464
737	85513	30358
738	85614	30237
739	85730	30121
740	85819	29996
741	85936	29880
742	86042	29761
743	86150	29643
744	86252	29522
745	86356	29402
746	86456	29281
747	86562	29162
748	86680	29047
749	86786	28928
750	86889	28808
751	87008	28694
752	87141	28584
753	87257	28468
754	87371	28352
755	87486	28236
756	87610	28123
757	87710	28002
758	87825	27886
759	87930	27767
760	88032	27647
761	88159	27535
762	88268	27417
763	88383	27301
764	88513	27190
765	88628	27074
766	88743	26958
767	88855	26841
768	88970	26725
769	89079	26608
770	89198	26493
771	89318	26378
772	89451	26268
773	89575	26155
774	89696	26041
775	89802	25922
776	89916	25806
777	90033	25690
778	90141	25572
779	90257	25457
780	90361	25338
781	90490	25226
782	90595	25107
783	90700	24988
784	90796	24867
785	90913	24752
786	91020	24634
787	91131	24517
788	91242	24400
789	91364	24286
790	91493	24174
791	91601	24056
792	91720	23942
793	91856	23831
794	91952	23711
795	92064	23594
796	92174	23477
797	92280	23359
798	92388	23241
799	92487	23121
800	92601	23005
801	92713	22889
802	92820	22771
803	92932	22655
804	93025	22534
805	93126	22415
806	93235	22297
807	93368	22186
808	93469	22067
809	93583	21951
810	93702	21836
811	93803	21717
812	93914	21601
813	94020	21483
814	94150	21371
815	94274	21258
816	94381	21140
817	94498	21025
818	94627	20912
819	94742	20797
820	94857	20681
821	94956	20562
822	95063	20445
823	95179	20329
824	95268	20208
825	95370	20090
826	95499	19977
827	95605	19860
828	95728	19746
829	95854	19632
830	95962	19515
831	96094	19403
832	96210	19288
833	96298	19167
834	96408	19050
835	96531	18936
836	96639	18819
837	96756	18704
838	96870	18588
839	96965	18469
840	97075	18353
841	97193	18238
842	97308	18122
843	97429	18008
844	97550	17893
845	97660	17777
846	97783	17663
847	97889	17546
848	98004	17430
849	98102	17312
850	98228	17198
851	98362	17086
852	98474	16970
853	98581	16853
854	98698	16738
855	98796	16619
856	98890	16500
857	98989	16382
858	99072	16262
859	99217	16151
860	99312	16033
861	99427	15917
862	99546	15802
863	99651	15685
864	99759	15569
865	99850	15450
866	99958	15333
867	100068	15217
868	100176	15101
869	100282	14984
870	100395	14869
871	100496	14751
872	100612	14636
873	100720	14520
874	100855	14407
875	100973	14293
876	101083	14177
877	101218	14064
878	101353	13952
879	101471	13836
880	101573	13719
881	101675	13602
882	101783	13486
883	101889	13370
884	102002	13254
885	102130	13140
886	102244	13025
887	102381	12912
888	102493	12797
889	102601	12681
890	102725	12566
891	102815	12448
892	102939	12334
893	103055	12219
894	103176	12104
895	103314	11991
896	103423	11875
897	103548	11761
898	103659	11645
899	103773	11530
900	103880	11414
901	103988	11298
902	104106	11183
903	104209	11066
904	104325	10951
905	104469	10838
906	104596	10724
907	104710	10609
908	104845	10496
909	104958	10380
910	105095	10267
911	105224	10153
912	105326	10036
913	105432	9920
914	105539	9804
915	105647	9688
916	105768	9573
917	105882	9457
918	105995	9342
919	106090	9225
920	106213	9110
921	106332	8995
922	106453	8880
923	106573	8765
924	106696	8651
925	106812	8535
926	106913	8419
927	107016	8303
928	107137	8188
929	107244	8072
930	107352	7956
931	107490	7842
932	107582	7725
933	107710	7611
934	107824	7495
935	107915	7378
936	108031	7263
937	108127	7147
938	108254	7032
939	108361	6916
940	108490	6802
941	108610	6687
942	108724	6571
943	108819	6455
944	108932	6339
945	109032	6223
946	109152	6108
947	109270	5993
948	109392	5878
949	109492	5762
950	109597	5647
951	109695	5530
952	109810	5415
953	109934	5300
954	110029	5184
955	110137	5069
956	110250	4953
957	110350	4837
958	110432	4721
959	110541	4605
960	110653	4490
961	110784	4376
962	110887	4260
963	110999	4145
964	111112	4030
965	111222	3914
966	111341	3799
967	111452	3684
968	111572	3569
969	111693	3454
970	111791	3338
971	111904	3223
972	112005	3108
973	112112	2992
974	112242	2878
975	112362	2763
976	112486	2648
977	112577	2532
978	112685	2417
979	112797	2301
980	112910	2186
981	113018	2071
982	113121	1956
983	113226	1841
984	113286	1725
985	113353	1609
986	113421	1493
987	113468	1378
988	113501	1262
989	113534	1146
990	113568	1031
991	113600	916
992	113624	800
993	113644	685
994	113663	571
995	113683	456
996	113702	342
997	113719	227
998	113738	113
999	113759	0
